系统,子系统,模块,子模块,子模块
内部系统,管理门户,,,
,风控平台,风险,盗用,
,,,欺诈,
,,,销账,
,,,盗卡,
,,,钓鱼,
,,风险识别,规则体系,
,,,模型体系,
,,安全决策,处罚规则和措施,
,,,案件稽核,
,结算平台,,,
,监控分析平台,,,
,移动服务平台,,,
,安全服务平台,安全服务中心,身份认证,PKI
,,,,OTP
,,,应用防攻,验证码
,,,,人机识别
,,,,可信环境
,,,大数据分析,规则
,,,,模型
,,,,数据运算
,,操作与运营安全,数据传播控制,
,,,权限管理,
,,,操作审计,
,,,接入安全,
,,日志审计分析,,
,,统一加密解密,,
,,信息安全服务,,
,,卡信息加密,,
,财务喜用（规划）,,,
,产品公告平台（规划）,,,
,工作流平台（规划）,,,
,账户管理系统（规划）,传统账户,,
,,区块链,,
,工作平台权限（规划）,,,
外部门户,商户服务平台,,,
,代理商服务平台,,,
,商户服务APP,,,
,商户入网APP,,,
客户系统,统一客户信息平台,商户核心,,
,,产品中心,,
,,会员核心（规划）,,
,,会员等级（规划）,,
,,信用分级（规划）,,
运营平台,系统参数配置,,,
,业务配置,,,
,密钥管理,,,
,自动部署与发布（规划）,,,
,服务配置与流量控制（规划）,,,
,资源管理（规划）,,,
交易系统,业务通道（收银台）,在线支付业务系统,微信网页支付,
,,,支付宝网页支付,
,,,企业网银支付,
,,,三方网关支付,
,,,快捷支付,
,,银行卡收单业务系统,,
,,APP支付业务系统,微信,
,,,支付宝,
,,,NFC,
,,,APPLE PAY,
,,,银联,
,,H5支付业务系统,应用内支付,
,,,应用外支付,
,,当面付业务系统,微信,
,,,支付宝,
,,,百度钱包,
,,,QQ钱包,
,,,京东支付,
,,信用支付业务系统,京东白条,
,,,分期通道,
,,,花呗/芝麻信用,
,,银联支付业务系统,小微商户,
,,,全渠道,
,,公众号支付业务系统,,
,,代收业务系统,,
,,代付业务系统,,
,,代扣业务系统,,
,,鉴权业务系统,身份证鉴权,
,,,三要素认证,
,,,四要素认证,
,路由管理,QQS,,
,,路由规则,,
,,路由模板,,
,,通道/渠道管理,,
,,平衡商户池,,
,交易引擎,数据持久,,
,,流程引擎,,
,,规则引擎,额度控制,
,,,支付路由,
,,超时处理,,
,,交易查询,,
,,批量支付,,
,,收费接入,费率配置,
,,,收费规则,
,,,收费计算,
,,,费用收取,
,,商户通知,消息通知,商户通知
,,,,消费记录
,,,,商户查询
,,,,沟通(邮件/短信)
,,,,风险核查
,,,,资损核查
,,资金处理,,
支付系统,充值协议,,,
,提现协议,,,
,充退协议,,,
,内转协议,,,
,支付指令,,,
清算系统,清算指令,,,
,实时处理,银行(三方)渠道系统,渠道支付路由,文件
,,,,在线支付接入
,,,,银行卡收单接入
,,,,APP支付接入
,,,,H5支付接入
,,,,当面付接入
,,,,信用支付接入
,,,,银联接入
,,,,公众号支付接入
,,,,代收接入
,,,,代付接入
,,,,代扣接入
,,,,快捷接入
,,,,鉴权接入
,,,,银行(三方)渠道证书管理
,,,渠道支付统一核心,
,文件处理,,,
,任务调度,,,
,渠道管理,,,
财务系统,记账子系统,账务交易流水,,
,,记账凭证,,
,,分户账户(外),,
会计系统,分录子系统,会计分录流水,,
,,分户账户(内),,
,,分户日余额,,
,日终子系统,外部分户历史日余额,,
,,内部分户历史日余额,,
,,科目汇总,,
核算系统,流水登记子系统,银行流水登记,,
,,入账流水登记,,
,流水核算子系统,流水核算处理,,
,,流水归档处理,,
,,银存待结转统计,,
